Date,Title,Price,Info
2026-05-08,Verified ID,"₦ 15,000,000","3+ YEARS ON JIJI | ₦ 15,000,000 | Lexus ES 350 FWD 2013 Silver"
2026-05-08,"₦ 15,000,000","₦ 15,000,000",Lexus ES 350 FWD 2013 Silver | Super clean 2013 face lifted to 2018 No single check light. Low millage and untampered engine /gear.... | Local Used
2026-05-08,ENTERPRISE,"₦ 12,500,000","₦ 12,500,000 | Lexus RX 350 2010 Gray | This is a super and clean lexus RX350 2010 model first body with reverse camera navigation system..."
2026-05-08,Verified ID,"₦ 33,000,000","DIAMOND | ₦ 33,000,000 | Toyota Highlander Limited 2019 Gray"
2026-05-08,"₦ 33,000,000","₦ 33,000,000",Toyota Highlander Limited 2019 Gray | Extremely clean foreign used toyota highlander 2019 model gray on black color going for just 33... | Foreign Used
2026-05-08,Verified ID,"₦ 7,500,000","3+ YEARS ON JIJI | ₦ 7,500,000 | Toyota Sienna 2005 Gold"
2026-05-08,"₦ 7,500,000","₦ 7,500,000","Toyota Sienna 2005 Gold | Neatly used toyota sienna 2005!! absolutely nothing to fix. neatly baked on first body!! engine,... | Local Used"
2026-05-08,Verified ID,"₦ 17,500,000","3+ YEARS ON JIJI | ₦ 17,500,000 | Ford Explorer 2017 Black"
2026-05-08,"₦ 17,500,000","₦ 17,500,000","Ford Explorer 2017 Black | • 0-60 mph: ~7–8 seconds for base V6; quicker (~6–7 sec) on turbo models. • Towing: Up to 5,000 lbs... | Foreign Used"
2026-05-08,Verified ID,"₦ 30,000,000","₦ 30,000,000 | Toyota Highlander XLE V6 4x2 (3.5L 6cyl 6A) 2016 Gray | Foreign used 2016 Toyota Highlander xle for sale"
2026-05-08,"₦ 30,000,000","₦ 30,000,000",Toyota Highlander XLE V6 4x2 (3.5L 6cyl 6A) 2016 Gray | Foreign used 2016 Toyota Highlander xle for sale | Foreign Used
2026-05-08,Verified ID,"₦ 14,500,000","ENTERPRISE | ₦ 14,500,000 | Hyundai Santa Fe SE AWD 2016 Silver"
2026-05-08,Verified ID,"₦ 14,399,999","5+ YEARS ON JIJI | ENTERPRISE | ₦ 14,399,999"
2026-05-08,"₦ 14,399,999","₦ 14,399,999",Toyota Highlander 2008 Silver | Available for immediate inspection/delivery foreign used toyota highlander (2008) — super clean &... | Foreign Used
2026-05-08,Verified ID,"₦ 50,000,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 50,000,000"
2026-05-08,"₦ 50,000,000","₦ 50,000,000",Mercedes-Benz S-Class 2016 Black | Super Clean Toks 2016 Mercedes Benz S Classs Upgraded to Maybach Thumbstart 360 degrees... | Foreign Used
2026-05-08,Verified ID,"₦ 15,500,000","ENTERPRISE | ₦ 15,500,000 | Hyundai Santa Fe 2014 Black"
2026-05-08,"₦ 15,500,000","₦ 15,500,000",Hyundai Santa Fe 2014 Black | Extremely clean sharp direct Belgium 2014 Hyundai Santa Fe with 2026 custom duty | Foreign Used
2026-05-08,Verified ID,"₦ 47,500,000","ENTERPRISE | ₦ 47,500,000 | Lexus GX 460 Luxury 2018 Silver"
2026-05-08,"₦ 47,500,000","₦ 47,500,000",Lexus GX 460 Luxury 2018 Silver | Foreign usex Lexus Gx460 with BSM and pre collision system | Foreign Used
2026-05-08,Verified ID,"₦ 7,999,999","5+ YEARS ON JIJI | ENTERPRISE | ₦ 7,999,999"
2026-05-08,"₦ 7,999,999","₦ 7,999,999",Lexus ES 350 2008 Red | *a clean a year registered 2008 lexus es350: full option* note: this car is barely driven. first... | Local Used
2026-05-08,5+ YEARS ON JIJI,"₦ 16,000,000","₦ 16,000,000 | Mercedes-Benz GLK-Class 350 4MATIC 2011 White | Toks 2011 GLK 350 4matic with AMG trim fullest option new entry with clean title"
2026-05-08,"₦ 16,000,000","₦ 16,000,000",Mercedes-Benz GLK-Class 350 4MATIC 2011 White | Toks 2011 GLK 350 4matic with AMG trim fullest option new entry with clean title | Foreign Used
2026-05-08,Verified ID,"₦ 190,000,000","DIAMOND | ₦ 190,000,000 | New BMW X7 2025 Maroon"
2026-05-08,"₦ 190,000,000","₦ 190,000,000",New BMW X7 2025 Maroon | Super ster luxury VIP Brand New BMW 2025 x7 going for 190m | Brand New
2026-05-08,Verified ID,"₦ 48,000,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 48,000,000"
2026-05-08,"₦ 48,000,000","₦ 48,000,000",Dongfeng Aeolus E70 2025 White | 2025 dongfeng mage mini suv | Foreign Used
2026-05-08,Verified ID,"₦ 34,000,000","ENTERPRISE | ₦ 34,000,000 | Lexus GX 460 Premium 2013 Gray"
2026-05-08,"₦ 34,000,000","₦ 34,000,000",Lexus GX 460 Premium 2013 Gray | GX460 direct tokunbo foreign used direct Belgium is available for inspection080********* | Foreign Used
2026-05-08,Verified ID,"₦ 26,800,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 26,800,000"
2026-05-08,Verified ID,"₦ 33,500,000","5+ YEARS ON JIJI | ₦ 33,500,000 | Volvo XC90 T6 Momentum 4dr SUV AWD (2.0L 4cyl Twincharger 8A) 2016 Blue"
2026-05-08,"₦ 33,500,000","₦ 33,500,000","Volvo XC90 T6 Momentum 4dr SUV AWD (2.0L 4cyl Twincharger 8A) 2016 Blue | Super clean title 2016 Volvo XC90. Engine, automatic gear transmission, suspension, air conditioning... | Foreign Used"
2026-05-08,Verified ID,"₦ 13,500,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 13,500,000"
2026-05-08,"₦ 13,500,000","₦ 13,500,000",Lexus RX 350 2011 Silver | Lexus Rx350 2011 neatly used very clean nothing ti used buy and drive | Local Used
2026-05-08,5+ YEARS ON JIJI,"₦ 26,000,000","ENTERPRISE | ₦ 26,000,000 | Mercedes-Benz GLC-Class 2017 Silver"
2026-05-08,"₦ 26,000,000","₦ 26,000,000","Mercedes-Benz GLC-Class 2017 Silver | Very clean benz glc 2017 for sale, used for 2 month but not registered, accident free, gear and... | Foreign Used"
2026-05-08,ENTERPRISE,"₦ 14,200,000","₦ 14,200,000 | Toyota RAV4 LE 4dr SUV (2.5L 4cyl 6A) 2015 Silver | Toks Standard 2014 Toyota Rav4 with Original Custom Duty Everything Blessed Absolutely Nothing to..."
2026-05-08,"₦ 14,200,000","₦ 14,200,000",Toyota RAV4 LE 4dr SUV (2.5L 4cyl 6A) 2015 Silver | Toks Standard 2014 Toyota Rav4 with Original Custom Duty Everything Blessed Absolutely Nothing to... | Foreign Used
2026-05-08,Verified ID,"₦ 134,999,999","5+ YEARS ON JIJI | ENTERPRISE | ₦ 134,999,999"
2026-05-08,"₦ 134,999,999","₦ 134,999,999",New Toyota Land Cruiser 1958 2025 Brown | Vintage Toyota land cruiser 2025 bufalo 4x4 suv available for your rugged movement... 1958 premium... | Brand New
2026-05-08,Verified ID,"₦ 8,300,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 8,300,000"
2026-05-08,"₦ 8,300,000","₦ 8,300,000",Toyota Highlander 2006 Blue | * 2006 toyota highlander limited v6 totally accident free open sunroof duty paid untouched engine... | Local Used
2026-05-08,5+ YEARS ON JIJI,"₦ 6,900,000","₦ 6,900,000 | Hyundai Sonata 2012 Silver | Well maintained hyundai sonata 2012 Firstbody pan Engine Gearbox Ac chilling Location..."
2026-05-08,"₦ 6,900,000","₦ 6,900,000",Hyundai Sonata 2012 Silver | Well maintained hyundai sonata 2012 Firstbody pan Engine Gearbox Ac chilling Location... | Local Used
2026-05-08,Verified ID,"₦ 11,900,000","ENTERPRISE | ₦ 11,900,000 | Toyota Sienna 2010 Red"
2026-05-08,"₦ 11,900,000","₦ 11,900,000",Toyota Sienna 2010 Red | Direct foreign used sienna 2010 | Foreign Used
2026-05-08,5+ YEARS ON JIJI,"₦ 6,980,000","DIAMOND | ₦ 6,980,000 | Toyota Avensis 2014 Gray"
2026-05-08,"₦ 6,980,000","₦ 6,980,000",Toyota Avensis 2014 Gray | Extremely clean Registered Toyota Avesis 2014 model Thumpstart With neat interiors Suspension is... | Local Used
2026-05-08,Verified ID,"₦ 7,900,000","3+ YEARS ON JIJI | DIAMOND | ₦ 7,900,000"
2026-05-08,"₦ 7,900,000","₦ 7,900,000",Toyota RAV4 2010 Brown | Toyota RAV4 2010 V6 Engine Keyless (push button start)62k km Full option Neatly used first body | Local Used
2026-05-08,Verified ID,"₦ 15,700,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 15,700,000"
2026-05-08,"₦ 15,700,000","₦ 15,700,000",Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6A) 2013 Gray | This is a 2013 Camry sport V6 Thumbstart / Push to start botton First body Multimedia screen Car is... | Foreign Used
2026-05-08,Verified ID,"₦ 3,800,000","₦ 3,800,000 | Peugeot 206 XS 1.4 2008 Red | Direct Belgium SHARP PEUGEOT 206 AUTOMATIC Engine and gear untampered with chilling ac, sharply..."
2026-05-08,"₦ 3,800,000","₦ 3,800,000","Peugeot 206 XS 1.4 2008 Red | Direct Belgium SHARP PEUGEOT 206 AUTOMATIC Engine and gear untampered with chilling ac, sharply... | Foreign Used"
2026-05-08,3+ YEARS ON JIJI,"₦ 6,300,000","DIAMOND | ₦ 6,300,000 | Honda CR-V 2008 Gold"
2026-05-08,"₦ 6,300,000","₦ 6,300,000",Honda CR-V 2008 Gold | Nigerian used very clean on tempered engine everything is working buy and drive | Local Used
2026-05-08,"₦ 6,700,000","₦ 6,700,000",Nissan Quest SV 2011 Beige | Everything work fine nothing do the car | Local Used
2026-05-08,5+ YEARS ON JIJI,"₦ 8,000,000","DIAMOND | ₦ 8,000,000 | Mercedes-Benz CL 550 4MATIC 2012 Black"
2026-05-08,"₦ 8,000,000","₦ 8,000,000","Mercedes-Benz CL 550 4MATIC 2012 Black | Mercedes Benz CL 550 4Matic ,black Colour, Leather Seat,Fm radio, CD player ,automatic drive ,alloy... | Local Used"
2026-05-08,Verified ID,"₦ 104,000,000","5+ YEARS ON JIJI | ₦ 104,000,000 | New Changan UNI-K 2025 White"
2026-05-08,"₦ 104,000,000","₦ 104,000,000",New Changan UNI-K 2025 White | Changan UNI-K 2025 – 2.0L Turbocharged Engine | 233 hp & 390 Nm | 8-Speed Automatic | 0–100 km/h in... | Brand New
2026-05-08,Verified ID,"₦ 11,776,000","5+ YEARS ON JIJI | ₦ 11,776,000 | -8%"
2026-05-08,"₦ 11,776,000","₦ 11,776,000","-8% | ₦ 12,800,000 | Hyundai Sonata 2015 Gray"
2026-05-08,-8%,"₦ 12,800,000","₦ 12,800,000"
